VisitCode,Amount
XA-1232728,195
XA-1194763,195
XA-1181305,195
XA-1158149,195
XA-1198849,195
XA-1193270,195
XA-1200411,195
XA-1225002,195
XA-1185593,195
XA-1187166,195
XA-1200385,195
XA-1156210,195
XA-1193276,195
XA-1195820,195
XA-1185735,195
XA-1233239,195
XA-1174371,195
XA-1181203,195
XA-1160879,195
XA-1201137,195
XA-1161413,195
XA-1207908,195
XA-1173672,195
XA-1227325,195
XA-1175045,195
XA-1180120,195
XA-1225234,195
XA-1155964,195
XA-1221592,195
XA-1183847,195
XA-1208544,195
XA-1174412,195
XA-1206210,195
XA-1155725,195
XA-1181166,195
XA-1185929,195
XA-1155828,195
XA-1195814,195
XA-1156179,195
XA-1152965,195
XA-1200479,195
XA-1152961,195
XA-1135833,195
XA-1262616,195
XA-1219468,195
XA-1179848,195
XA-1195782,195
XA-1197983,195
XA-1179906,195
XA-1162199,195
XA-1152771,195
XA-1189010,195
XA-1148427,195
XA-1171686,195
XA-1243351,195
XA-1237829,195
XA-1171334,195
XA-1158165,195
XA-1207923,195
XA-1222481,195
XA-1152407,195
XA-1198723,195
XA-1163991,195
XA-1265316,195
XA-1156288,195
XA-1227153,195
XA-1238057,195
XA-1193320,195
XA-1180047,195
XA-1195009,195
XA-1187131,195
XA-1262609,195
XA-1233225,195
XA-1213515,195
XA-1175190,195
XA-1197656,195
XA-1174408,195
XA-1195827,195
XA-1156107,195
XA-1243604,195
XA-1227288,195
XA-1204086,195
XA-1185970,195
XA-1198931,195
XA-1238026,195
XA-1160797,195
XA-1262836,195
XA-1237966,195
XA-1210740,195
XA-1240750,195
XA-1225154,195
XA-1134489,195
XA-1223333,195
XA-1143192,195
XA-1187165,195
XA-1174124,195
XA-1168362,195
XA-1233258,195
XA-1224747,195
XA-1217101,195
XA-1164165,195
XA-1233215,195
XA-1230620,195
XA-1178022,195
XA-1159835,195
XA-1204101,195
XA-1222477,195
XA-1175649,195
XA-1203773,195
XA-1203173,195
XA-1210692,195
XA-1218728,195
XA-1183058,195
XA-1144431,195
XA-1242780,195
XA-1194986,195
XA-1184169,195
XA-1180019,195
XA-1246996,195
XA-1152518,195
XA-1222485,195
XA-1155773,195
XA-1224376,195
XA-1174274,195
XA-1180219,195
XA-1197658,195
XA-1210795,195
XA-1183940,195
XA-1197649,195
XA-1193659,195
XA-1258769,195
XA-1213575,195
XA-1200421,195
XA-1200295,195
XA-1187168,195
XA-1243592,195
XA-1223541,195
XA-1257314,195
XA-1193762,195
XA-1187181,195
XA-1203775,195
XA-1210700,195
XA-1155765,195
XA-1158210,195
XA-1224936,195
XA-1236146,195
XA-1221663,195
XA-1243795,195
XA-1202949,195
XA-1193244,195
XA-1224812,195
XA-1221654,195
XA-1202895,195
XA-1168367,195
XA-1179572,195
XA-1174414,195
XA-1177108,195
XA-1139175,195
XA-1200583,195
XA-1198307,195
XA-1149071,195
XA-1205485,195
XA-1192096,195
XA-1167684,195
XA-1158740,195
XA-1199388,195
XA-1199286,195
XA-1209192,195
XA-1156748,195
XA-1200867,195
XA-1151580,195
XA-1252418,195
XA-1180823,195
XA-1238122,195
XA-1186270,195
XA-1153243,195
XA-1179808,195
XA-1185243,195
XA-1262322,195
XA-1257030,195
XA-1148752,195
XA-1203763,195
XA-1230232,195
XA-1178601,195
XA-1252059,195
XA-1226887,195
XA-1200889,195
XA-1205808,195
XA-1195106,195
XA-1195128,195
XA-1167778,195
XA-1195088,195
XA-1199424,195
XA-1226773,195
XA-1230382,195
XA-1267381,195
XA-1153352,195
XA-1205750,195
XA-1199455,195
XA-1200722,195
XA-1238139,195
XA-1198574,195
XA-1153199,195
XA-1200516,195
XA-1221944,195
XA-1219796,195
XA-1268886,195
XA-1167848,195
XA-1168819,195
XA-1267207,195
XA-1165611,195
XA-1198503,195
XA-1177314,195
XA-1205918,195
XA-1199169,195
XA-1219786,195
XA-1196660,195
XA-1167374,195
XA-1246495,195
XA-1162534,195
XA-1179713,195
XA-1235023,195
XA-1173434,195
XA-1134994,195
XA-1141954,195
XA-1169053,195
XA-1144997,195
XA-1206669,195
XA-1195545,195
XA-1151860,195
XA-1167676,195
XA-1193179,195
XA-1244689,195
XA-1172505,195
XA-1139716,195
XA-1148875,195
XA-1206352,195
XA-1259251,195
XA-1246281,195
XA-1233645,195
XA-1178316,195
XA-1156996,195
XA-1227425,195
XA-1143509,195
XA-1225515,195
XA-1149020,195
XA-1205433,195
XA-1175430,195
XA-1171038,195
XA-1139564,195
XA-1186530,195
XA-1246407,195
XA-1198332,195
XA-1200829,195
XA-1165520,195
XA-1227874,195
XA-1220773,195
XA-1219720,195
XA-1198449,195
XA-1180720,195
XA-1181692,195
XA-1170981,195
XA-1143455,195
XA-1241370,195
XA-1216705,195
XA-1162646,195
XA-1162662,195
XA-1179765,195
XA-1145227,195
XA-1151693,195
XA-1241526,195
XA-1224672,195
XA-1172526,195
XA-1149338,195
XA-1169026,195
XA-1163082,195
XA-1186395,195
XA-1162710,195
XA-1266088,195
XA-1134782,195
XA-1247572,195
XA-1216420,195
XA-1180948,195
XA-1178614,195
XA-1160676,195
XA-1235270,195
XA-1235099,195
XA-1252651,195
XA-1188055,195
XA-1168856,195
XA-1186324,195
XA-1192230,195
XA-1196652,195
XA-1268888,195
XA-1180974,195
XA-1187844,195
XA-1199438,195
XA-1186547,195
XA-1216630,195
XA-1228957,195
XA-1202030,195
XA-1268949,195
XA-1205523,195
XA-1196628,195
XA-1246332,195
XA-1227825,195
XA-1231755,195
XA-1267161,195
XA-1151741,195
XA-1164720,195
XA-1206516,195
XA-1178249,195
XA-1252948,195
XA-1182945,195
XA-1149147,195
XA-1195440,195
XA-1196607,195
XA-1224663,195
XA-1267144,195
XA-1211030,195
XA-1198302,195
XA-1252725,195
XA-1198567,195
XA-1246470,195
XA-1172372,195
XA-1235219,195
XA-1211260,195
XA-1201008,195
XA-1134975,195
XA-1184656,195
XA-1175351,195
XA-1234127,195
XA-1244922,195
XA-1171029,195
XA-1184745,195
XA-1143648,195
XA-1252096,195
XA-1230512,195
XA-1216303,195
XA-1165946,195
XA-1222517,195
XA-1247406,195
XA-1170999,195
XA-1203341,195
XA-1179625,195
XA-1268996,195
XA-1180566,195
XA-1224687,195
XA-1190762,195
XA-1202106,195
XA-1227792,195
XA-1175142,195
XA-1186460,195
XA-1224572,195
XA-1238114,195
XA-1245024,195
XA-1196625,195
XA-1233964,195
XA-1219559,195
XA-1211828,195
XA-1199372,195
XA-1168906,195
XA-1178717,195
XA-1219539,195
XA-1241399,195
XA-1211097,195
XA-1215431,195
XA-1187524,195
XA-1203760,195
XA-1187621,195
XA-1212456,195
XA-1196969,195
XA-1261031,195
XA-1213657,195
XA-1146256,195
XA-1212495,195
XA-1234781,195
XA-1146037,195
XA-1179763,195
XA-1235649,195
XA-1146287,195
XA-1169010,195
XA-1262101,195
XA-1168678,195
XA-1235730,195
XA-1187660,195
XA-1197900,195
XA-1193814,195
XA-1152138,195
XA-1238529,195
XA-1199720,195
XA-1230020,195
XA-1209955,195
XA-1194958,195
XA-1237263,195
XA-1193847,195
XA-1198227,195
XA-1195041,195
XA-1269175,195
XA-1219793,195
XA-1209965,195
XA-1184542,195
XA-1169045,195
XA-1219678,195
XA-1263464,195
XA-1224118,195
XA-1216296,195
XA-1175906,195
XA-1175824,195
XA-1163983,195
XA-1228274,195
XA-1231299,195
XA-1252334,195
XA-1213900,195
XA-1155957,195
XA-1164104,195
XA-1208133,195
XA-1231266,195
XA-1231155,195
XA-1189895,195
XA-1204503,195
XA-1258235,195
XA-1147617,195
XA-1234747,195
XA-1187297,195
XA-1260975,195
XA-1137396,195
XA-1173433,195
XA-1147503,195
XA-1235348,195
XA-1198234,195
XA-1207012,195
XA-1187340,195
XA-1262113,195
XA-1196866,195
XA-1263898,195
XA-1237740,195
XA-1183478,195
XA-1210013,195
XA-1228525,195
XA-1235672,195
XA-1155973,195
XA-1209970,195
XA-1174427,195
XA-1159947,195
XA-1173416,195
XA-1204530,195
XA-1177986,195
XA-1147593,195
XA-1265378,195
XA-1171936,195
XA-1159089,195
XA-1220305,195
XA-1171778,195
XA-1183001,195
XA-1199680,195
XA-1207324,195
XA-1225850,195
XA-1209850,195
XA-1258720,195
XA-1146045,195
XA-1159500,195
XA-1249547,195
XA-1221478,195
XA-1223233,195
XA-1199737,195
XA-1157785,195
XA-1174357,195
XA-1140379,195
XA-1219797,195
XA-1233549,195
XA-1187220,195
XA-1231393,195
XA-1191327,195
XA-1225614,195
XA-1223823,195
XA-1218724,195
XA-1168888,195
XA-1191320,195
XA-1169031,195
XA-1228417,195
XA-1184441,195
XA-1268911,195
XA-1155727,195
XA-1209816,195
XA-1214305,195
XA-1204404,195
XA-1197269,195
XA-1210030,195
XA-1261522,195
XA-1225803,195
XA-1258426,195
XA-1192639,195
XA-1147973,195
XA-1202172,195
XA-1209929,195
XA-1151736,195
XA-1159970,195
XA-1221640,195
XA-1234478,195
XA-1204534,195
XA-1259976,195
XA-1269332,195
XA-1192583,195
XA-1202262,195
XA-1224313,195
XA-1203373,195
XA-1190116,195
XA-1219795,195
XA-1203753,195
XA-1192461,195
XA-1227349,195
XA-1137425,195
XA-1203740,195
XA-1228221,195
XA-1207431,195
XA-1235427,195
XA-1170171,195
XA-1225878,195
XA-1196698,195
XA-1174423,195
XA-1147423,195
XA-1197023,195
XA-1259837,195
XA-1192511,195
XA-1160254,195
XA-1204542,195
XA-1142649,195
XA-1237658,195
XA-1203634,195
XA-1197049,195
XA-1225970,195
XA-1162374,195
XA-1195015,195
XA-1219529,195
XA-1234865,195
XA-1183445,195
XA-1237358,195
XA-1190009,195
XA-1147343,195
XA-1170241,195
XA-1223283,195
XA-1160008,195
XA-1231239,195
XA-1192687,195
XA-1172979,195
XA-1140952,195
XA-1254937,195
XA-1159446,195
XA-1157737,195
XA-1147551,195
XA-1219788,195
XA-1175719,195
XA-1268961,195
XA-1213725,195
XA-1192799,195
XA-1191370,195
XA-1175929,195
XA-1216402,195
XA-1190109,195
XA-1146423,195
XA-1204331,195
XA-1175922,195
XA-1202472,195
XA-1183214,195
XA-1260976,195
XA-1228743,195
XA-1136370,195
XA-1231228,195
XA-1167023,195
XA-1216583,195
XA-1155851,195
XA-1185541,195
XA-1226012,195
XA-1191425,195
XA-1219732,195
XA-1231216,195
XA-1256653,195
XA-1168527,195
XA-1150436,195
XA-1267856,195
XA-1195560,195
XA-1210406,195
XA-1152625,195
XA-1221308,195
XA-1205493,195
XA-1209660,195
XA-1219838,195
XA-1188411,195
XA-1249448,195
XA-1212932,195
XA-1199930,195
XA-1165940,195
XA-1265791,195
XA-1170554,195
XA-1226416,195
XA-1256663,195
XA-1156672,195
XA-1189005,195
XA-1150546,195
XA-1189511,195
XA-1219461,195
XA-1243225,195
XA-1240302,195
XA-1232634,195
XA-1228981,195
XA-1239572,195
XA-1164527,195
XA-1193743,195
XA-1197554,195
XA-1196644,195
XA-1201816,195
XA-1184314,195
XA-1148931,195
XA-1139539,195
XA-1261355,195
XA-1268458,195
XA-1267790,195
XA-1189067,195
XA-1226448,195
XA-1226298,195
XA-1201561,195
XA-1223117,195
XA-1149140,195
XA-1170621,195
XA-1199383,195
XA-1141353,195
XA-1205771,195
XA-1253120,195
XA-1204179,195
XA-1149191,195
XA-1173246,195
XA-1205472,195
XA-1199450,195
XA-1182237,195
XA-1209426,195
XA-1199538,195
XA-1196647,195
XA-1177721,195
XA-1196546,195
XA-1182402,195
XA-1172005,195
XA-1143336,195
XA-1206829,195
XA-1241827,195
XA-1210413,195
XA-1207808,195
XA-1157899,195
XA-1159372,195
XA-1195141,195
XA-1165631,195
XA-1182605,195
XA-1193356,195
XA-1193508,195
XA-1193282,195
XA-1232175,195
XA-1217982,195
XA-1152708,195
XA-1240208,195
XA-1268267,195
XA-1209640,195
XA-1185489,195
XA-1160716,195
XA-1193382,195
XA-1251746,195
XA-1232415,195
XA-1255447,195
XA-1242295,195
XA-1195542,195
XA-1217046,195
XA-1251413,195
XA-1173255,195
XA-1172018,195
XA-1261493,195
XA-1170580,195
XA-1227914,195
XA-1170597,195
XA-1174979,195
XA-1142934,195
XA-1165533,195
XA-1205656,195
XA-1168616,195
XA-1185501,195
XA-1241679,195
XA-1215637,195
XA-1188669,195
XA-1195085,195
XA-1184114,195
XA-1177562,195
XA-1150420,195
XA-1232664,195
XA-1241711,195
XA-1162117,195
XA-1193345,195
XA-1201908,195
XA-1205777,195
XA-1134453,195
XA-1193267,195
XA-1203783,195
XA-1183972,195
XA-1166785,195
XA-1168584,195
XA-1218251,195
XA-1241688,195
XA-1193576,195
XA-1232454,195
XA-1240360,195
XA-1195109,195
XA-1219991,195
XA-1143057,195
XA-1139315,195
XA-1191848,195
XA-1227780,195
XA-1173459,195
XA-1201720,195
XA-1137593,195
XA-1203774,195
XA-1152423,195
XA-1172000,195
XA-1201819,195
XA-1219473,195
XA-1197580,195
XA-1139578,195
XA-1268081,195
XA-1189124,195
XA-1212991,195
XA-1156424,195
XA-1153042,195
XA-1154089,195
XA-1186191,195
XA-1196610,195
XA-1261002,195
XA-1227500,195
XA-1189524,195
XA-1229003,195
XA-1232545,195
XA-1201848,195
XA-1205439,195
XA-1191759,195
XA-1189542,195
XA-1165595,195
XA-1207810,195
XA-1242014,195
XA-1206862,195
XA-1210302,195
XA-1199868,195
XA-1182243,195
XA-1193711,195
XA-1165885,195
XA-1193619,195
XA-1162188,195
XA-1241814,195
XA-1148922,195
XA-1219859,195
XA-1170523,195
XA-1156358,195
XA-1189000,195
XA-1253232,195
XA-1153816,195
XA-1211593,195
XA-1171895,195
XA-1166034,195
XA-1261668,195
XA-1226398,195
XA-1210459,195
XA-1220117,195
XA-1213670,195
XA-1203761,195
XA-1195616,195
XA-1140563,195
XA-1244279,195
XA-1225996,195
XA-1210489,195
XA-1215982,195
XA-1200051,195
XA-1208426,195
XA-1189906,195
XA-1152244,195
XA-1170940,195
XA-1267076,195
XA-1243395,195
XA-1173813,195
XA-1199826,195
XA-1174939,195
XA-1251748,195
XA-1226109,195
XA-1237114,195
XA-1256264,195
XA-1226688,195
XA-1215805,195
XA-1168005,195
XA-1171043,195
XA-1163532,195
XA-1153554,195
XA-1174998,195
XA-1210168,195
XA-1256019,195
XA-1244825,195
XA-1168288,195
XA-1226940,195
XA-1153920,195
XA-1174951,195
XA-1241018,195
XA-1226803,195
XA-1213745,195
XA-1154726,195
XA-1237094,195
XA-1248743,195
XA-1216829,195
XA-1169557,195
XA-1254077,195
XA-1180703,195
XA-1267404,195
XA-1238979,195
XA-1140893,195
XA-1203417,195
XA-1145536,195
XA-1203573,195
XA-1260150,195
XA-1170820,195
XA-1135099,195
XA-1252828,195
XA-1186940,195
XA-1184471,195
XA-1169566,195
XA-1203381,195
XA-1179850,195
XA-1203758,195
XA-1192240,195
XA-1163373,195
XA-1244228,195
XA-1204771,195
XA-1174989,195
XA-1205032,195
XA-1269667,195
XA-1163318,195
XA-1215890,195
XA-1194384,195
XA-1215941,195
XA-1204590,195
XA-1190107,195
XA-1201944,195
XA-1242510,195
XA-1214078,195
XA-1243505,195
XA-1207668,195
XA-1194238,195
XA-1169590,195
XA-1229683,195
XA-1251564,195
XA-1169435,195
XA-1174093,195
XA-1215613,195
XA-1174910,195
XA-1249390,195
XA-1154979,195
XA-1194677,195
XA-1174942,195
XA-1244592,195
XA-1210084,195
XA-1233550,195
XA-1235727,195
XA-1160574,195
XA-1260358,195
XA-1224671,195
XA-1200206,195
XA-1190011,195
XA-1180472,195
XA-1252848,195
XA-1169526,195
XA-1195339,195
XA-1214254,195
XA-1184547,195
XA-1214196,195
XA-1189866,195
XA-1217056,195
XA-1249462,195
XA-1166388,195
XA-1208445,195
XA-1224678,195
XA-1225780,195
XA-1234270,195
XA-1201942,195
XA-1179911,195
XA-1176058,195
XA-1177241,195
XA-1135654,195
XA-1195586,195
XA-1188076,195
XA-1251467,195
XA-1259190,195
XA-1163523,195
XA-1163449,195
XA-1176119,195
XA-1267321,195
XA-1174236,195
XA-1169133,195
XA-1199856,195
XA-1195710,195
XA-1150364,195
XA-1235483,195
XA-1205018,195
XA-1163489,195
XA-1267382,195
XA-1177133,195
XA-1184534,195
XA-1227950,195
XA-1187156,195
XA-1194528,195
XA-1229546,195
XA-1163570,195
XA-1187049,195
XA-1195629,195
XA-1208405,195
XA-1197587,195
XA-1246105,195
XA-1233415,195
XA-1152032,195
XA-1155014,195
XA-1181000,195
XA-1229671,195
XA-1159052,195
XA-1169384,195
XA-1207626,195
XA-1244229,195
XA-1195487,195
XA-1251679,195
XA-1169530,195
XA-1150511,195
XA-1140448,195
XA-1254090,195
XA-1136548,195
XA-1201894,195
XA-1216953,195
XA-1177321,195
XA-1159451,195
XA-1199885,195
XA-1259722,195
XA-1194230,195
XA-1141698,195
XA-1152342,195
XA-1259334,195
XA-1210555,195
XA-1154749,195
XA-1150090,195
XA-1168057,195
XA-1177138,195
XA-1252862,195
XA-1244214,195
XA-1184461,195
XA-1204854,195
XA-1192298,195
XA-1174032,195
XA-1235232,195
XA-1239035,195
XA-1245081,195
XA-1215032,195
XA-1202727,195
XA-1202664,195
XA-1217106,195
XA-1242584,195
XA-1219801,195
XA-1216177,195
XA-1211004,195
XA-1219805,195
XA-1211098,195
XA-1229420,195
XA-1235203,195
XA-1177508,195
XA-1228276,195
XA-1171333,195
XA-1211115,195
XA-1240561,195
XA-1176132,195
XA-1188266,195
XA-1177576,195
XA-1212067,195
XA-1233169,195
XA-1219076,195
XA-1186444,195
XA-1186571,195
XA-1201436,195
XA-1204576,195
XA-1174480,195
XA-1256906,195
XA-1196927,195
XA-1171351,195
XA-1240537,195
XA-1264215,195
XA-1209577,195
XA-1241291,195
XA-1202746,195
XA-1192617,195
XA-1240747,195
XA-1188196,195
XA-1208421,195
XA-1219174,195
XA-1244058,195
XA-1249906,195
XA-1253194,195
XA-1188113,195
XA-1186431,195
XA-1186303,195
XA-1188504,195
XA-1228220,195
XA-1189828,195
XA-1268131,195
XA-1212078,195
